abbess,script,illiberal,extinguish,mother superior
abjure,recede,kiln,plea,recant
abridgment,lough,courtesy,apposition,condensation
abstruse,projection,perigee,compulsory,deep
accept,successor,excerpt,rancor,take
accomplish,determinate,travesty,script,carry through
accustom,collier,pleasant,undervalue,habituate
acquaint,lithograph,ultimate,arboreal,introduce
acrimony,affluence,machinist,triennial,bitterness
adherent,disengage,deform,centurion,disciple
ado,duration,luminous,frizz,bustle
advocacy,subjection,irritancy,ampersand,protagonism
affix,profligate,counterbalance,disciplinary,stick on
aggression,misanthropic,appall,involution,hostility
alacrity,foist,succinct,mirage,briskness
alleviate,academician,forepeak,indefensible,relieve
altitude,resurrection,upbraid,adversity,height
ambrosial,myriad,resonance,effervescent,nectarous
amusement,dissentious,exegesis,curator,entertainment
anesthetic,vaudeville,heterodox,furtive,anaesthetic
annual,degenerate,outcast,equivocate,yearly
anthracite,blithe,diatomic,supplicate,hard coal
apiary,keepsake,sensorium,administrator,bee house
appease,gregarious,incite,complaisant,pacify
arbitrate,ligneous,angular,expeditious,intercede
ardor,crevice,pastoral,trio,elan
arrogant,sibilate,aurora,inglorious,chesty
asperity,fervid,consonance,acclaim,grimness
assiduous,protomartyr,obvert,immovable,sedulous
atrocity,predecessor,lexicon,impersonate,barbarity
